user_id,product_id,event_type,timestamp,implicit_score,category,price,age,segment,rating,month,dayofweek,age_norm,price_norm,implicit_score_norm,rating_norm,reward_rating,reward_implicit,reward_final
320,343,view,2025-05-12,1,lacteos,49.18,44,familia,3.0,5,0,0.5652173913043479,0.4844083291010665,0.0,0.5,0.5,0.0,0.3
138,367,view,2025-03-04,1,snacks,36.56,31,familia,3.0,3,1,0.2826086956521739,0.3562214321990858,0.0,0.5,0.5,0.0,0.3
38,465,purchase,2025-05-12,5,frutas,80.98,54,soltero,3.0,5,0,0.7826086956521738,0.8074149314372778,1.0,0.5,0.5,1.0,0.7
111,241,view,2025-05-13,1,bebidas,12.61,56,familia,3.0,5,1,0.8260869565217392,0.1129507364144235,0.0,0.5,0.5,0.0,0.3
480,199,view,2025-05-18,1,bebidas,43.19,51,soltero,3.0,5,6,0.7173913043478262,0.4235652615540883,0.0,0.5,0.5,0.0,0.3
368,500,view,2025-04-18,1,verduras,72.09,59,fitness,3.0,4,4,0.8913043478260869,0.7171152869476892,0.0,0.5,0.5,0.0,0.3
220,16,view,2025-06-21,1,bebidas,84.61,49,familia,3.0,6,5,0.673913043478261,0.8442864398171661,0.0,0.5,0.5,0.0,0.3
337,296,view,2025-02-09,1,lacteos,80.37,46,familia,3.0,2,6,0.6086956521739131,0.8012188928390046,0.0,0.5,0.5,0.0,0.3
223,365,view,2025-02-05,1,limpieza,45.09,34,familia,3.0,2,2,0.3478260869565217,0.4428643981716608,0.0,0.5,0.5,0.0,0.3
136,788,view,2025-02-04,1,lacteos,2.2,22,fitness,3.0,2,1,0.0869565217391304,0.007211782630777,0.0,0.5,0.5,0.0,0.3
256,239,view,2025-02-28,1,lacteos,79.86,42,soltero,3.0,2,4,0.5217391304347826,0.7960385982732352,0.0,0.5,0.5,0.0,0.3
360,581,view,2025-04-26,1,lacteos,13.71,63,gourmet,3.0,4,5,0.9782608695652172,0.1241239207719654,0.0,0.5,0.5,0.0,0.3
409,301,cart,2025-01-31,3,lacteos,55.21,54,soltero,3.0,1,4,0.7826086956521738,0.5456576942610463,0.5,0.5,0.5,0.5,0.5
329,6,cart,2025-06-23,3,bebidas,57.23,22,fitness,3.0,6,0,0.0869565217391304,0.5661757237176231,0.5,0.5,0.5,0.5,0.5
450,235,view,2025-02-18,1,carnes,13.99,39,fitness,3.0,2,1,0.4565217391304348,0.1269680040629761,0.0,0.5,0.5,0.0,0.3
463,224,view,2025-05-14,1,hogar,37.48,47,gourmet,3.0,5,2,0.6304347826086956,0.3655662772981208,0.0,0.5,0.5,0.0,0.3
434,453,view,2025-04-16,1,limpieza,99.94,43,familia,3.0,4,2,0.5434782608695652,1.0,0.0,0.5,0.5,0.0,0.3
451,433,cart,2025-01-19,3,verduras,86.95,46,familia,3.0,1,6,0.6086956521739131,0.8680548501777553,0.5,0.5,0.5,0.5,0.5
49,386,cart,2025-04-06,3,bebidas,25.62,19,familia,5.0,4,6,0.0217391304347826,0.2450990350431691,0.5,1.0,1.0,0.5,0.8
292,619,purchase,2025-06-19,5,hogar,75.86,35,soltero,3.0,6,3,0.3695652173913043,0.7554088369730828,1.0,0.5,0.5,1.0,0.7
382,295,view,2025-01-30,1,snacks,71.69,41,gourmet,3.0,1,3,0.5,0.713052310817674,0.0,0.5,0.5,0.0,0.3
324,118,view,2025-01-26,1,hogar,26.72,47,familia,3.0,1,6,0.6304347826086956,0.256272219400711,0.0,0.5,0.5,0.0,0.3
78,405,view,2025-05-11,1,limpieza,4.9,31,soltero,3.0,5,6,0.2826086956521739,0.0346368715083798,0.0,0.5,0.5,0.0,0.3
105,680,view,2025-06-10,1,lacteos,50.75,25,fitness,3.0,6,1,0.1521739130434782,0.5003555104113764,0.0,0.5,0.5,0.0,0.3
169,763,view,2025-02-19,1,verduras,78.9,45,familia,3.0,2,2,0.5869565217391305,0.7862874555611986,0.0,0.5,0.5,0.0,0.3
217,594,view,2025-06-08,1,limpieza,52.39,43,gourmet,3.0,6,6,0.5434782608695652,0.5170137125444388,0.0,0.5,0.5,0.0,0.3
378,566,cart,2025-04-21,3,carnes,64.56,59,soltero,3.0,4,0,0.8913043478260869,0.6406297613001524,0.5,0.5,0.5,0.5,0.5
119,226,view,2025-04-06,1,snacks,47.85,50,familia,3.0,4,6,0.6956521739130435,0.4708989334687659,0.0,0.5,0.5,0.0,0.3
190,12,cart,2025-03-23,3,snacks,97.13,54,soltero,3.0,3,6,0.7826086956521738,0.9714575926866428,0.5,0.5,0.5,0.5,0.5
255,209,view,2025-05-18,1,carnes,95.14,45,gourmet,3.0,5,6,0.5869565217391305,0.9512442864398172,0.0,0.5,0.5,0.0,0.3
370,165,purchase,2025-01-22,5,limpieza,78.2,43,fitness,3.0,1,2,0.5434782608695652,0.779177247333672,1.0,0.5,0.5,1.0,0.7
266,209,purchase,2025-02-23,5,carnes,95.14,18,gourmet,3.0,2,6,0.0,0.9512442864398172,1.0,0.5,0.5,1.0,0.7
149,519,purchase,2025-06-28,5,verduras,31.82,49,soltero,3.0,6,5,0.673913043478261,0.3080751650584053,1.0,0.5,0.5,1.0,0.7
164,568,cart,2025-03-22,3,carnes,55.12,45,soltero,3.0,3,5,0.5869565217391305,0.5447435246317928,0.5,0.5,0.5,0.5,0.5
